model_name,accuracy,precision_macro,recall_macro,f1_macro
TF-IDF + Logistic Regression,0.9390728476821192,0.9396445295411682,0.9386270491803279,0.9388129278768588
BiLSTM Deep Learning Model,0.8622516556291391,0.8732649044624187,0.8611534278832327,0.8624343052704877
