,precision,recall,f1-score,support
comp.graphics,0.9193548387096774,0.9,0.9095744680851063,190.0
rec.sport.baseball,0.8009478672985783,0.8894736842105263,0.8428927680798005,190.0
sci.med,0.8009259259259259,0.9010416666666666,0.8480392156862745,192.0
talk.politics.mideast,0.971830985915493,0.7540983606557377,0.8492307692307692,183.0
accuracy,0.8622516556291391,0.8622516556291391,0.8622516556291391,0.8622516556291391
macro avg,0.8732649044624187,0.8611534278832327,0.8624343052704877,755.0
weighted avg,0.872159420320373,0.8622516556291391,0.8625185894732817,755.0
